TestFunction,DrawMethod,dim,nPoints,log2n,shift,baker,rDrawn,mean,var,skew,kurt,MSE[A_r],MSE[M_r],datfile
IndSumNormal,Lat,4,1024,10,rqmc,True,31,-5.61328377067992e-05,3.495127654075627e-05,-0.1965772145163898,2.946960682049693,1.1274605335727828e-06,1.873502162687796e-06,IndSumNormal-4-Lat-RSB-10-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,False,7,1.4497045103509862e-05,1.9765634721516425e-06,0.2087582355115478,2.8114292171671846,2.823662103073775e-07,4.559964314089636e-07,IndSumNormal-4-Lat-RS-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,False,11,1.4497045103509862e-05,1.9765634721516425e-06,0.2087582355115478,2.8114292171671846,1.7968758837742205e-07,2.915576889178199e-07,IndSumNormal-4-Lat-RS-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,False,15,1.4497045103509862e-05,1.9765634721516425e-06,0.2087582355115478,2.8114292171671846,1.3177089814344286e-07,2.2268117633864249e-07,IndSumNormal-4-Lat-RS-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,False,19,1.4497045103509862e-05,1.9765634721516425e-06,0.2087582355115478,2.8114292171671846,1.0402965642903383e-07,1.7950008509898867e-07,IndSumNormal-4-Lat-RS-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,False,23,1.4497045103509862e-05,1.9765634721516425e-06,0.2087582355115478,2.8114292171671846,8.593754226746271e-08,1.509185573939506e-07,IndSumNormal-4-Lat-RS-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,False,27,1.4497045103509862e-05,1.9765634721516425e-06,0.2087582355115478,2.8114292171671846,7.32060545241349e-08,1.2961220779593557e-07,IndSumNormal-4-Lat-RS-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,False,31,1.4497045103509862e-05,1.9765634721516425e-06,0.2087582355115478,2.8114292171671846,6.37601120048917e-08,1.1434947438078173e-07,IndSumNormal-4-Lat-RS-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,True,7,-1.7924829898632454e-05,7.852270469068746e-06,-0.0110628989051141,2.6145349435412437,1.121752924152678e-06,1.831701149566527e-06,IndSumNormal-4-Lat-RSB-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,True,11,-1.7924829898632454e-05,7.852270469068746e-06,-0.0110628989051141,2.6145349435412437,7.138427699153405e-07,1.2225994407027045e-06,IndSumNormal-4-Lat-RSB-12-10000.dat
