TestFunction,DrawMethod,dim,nPoints,log2n,shift,baker,rDrawn,mean,var,skew,kurt,MeanOfMeans,MedianOfMeans,LeeValiant,MinskerNdaoud(3),MinskerNdaoud(2),MinskerNdaoud(3;1.0)
IndSumNormal,Lat,4,4096,12,rqmc,True,11,-1.7924829898632454e-05,7.852270469068746e-06,-0.011062898905114112,2.6145349435412433,7.234624908010154e-07,1.2225994407027045e-06,1.3241207950052555e-06,1.2311280811496568e-06,9.052090365392203e-07,9.377885850495932e-07
IndSumNormal,Lat,4,4096,12,rqmc,True,11,1.4497045103509862e-05,1.9765634721516425e-06,0.20875823551154785,2.8114292171671846,1.7722307054883488e-07,2.9155768891781984e-07,3.12224457092243e-07,2.928593735136256e-07,2.1620767240827396e-07,2.236159572085491e-07
IndSumNormal,Lat,4,4096,12,rqmc,True,15,1.4497045103509862e-05,1.9765634721516425e-06,0.20875823551154785,2.8114292171671846,1.3214292744382932e-07,2.2268117633864249e-07,2.381067743793045e-07,1.875178638773873e-07,1.533649604751781e-07,1.510249696813694e-07
IndSumNormal,Lat,4,4096,12,rqmc,True,15,-1.7924829898632454e-05,7.852270469068746e-06,-0.011062898905114112,2.6145349435412433,5.377990343516309e-07,9.324356834425819e-07,1.0069077278412668e-06,7.780540479685415e-07,6.270976039451629e-07,6.277402692371687e-07
IndSumNormal,Lat,4,4096,12,rqmc,True,19,1.4497045103509862e-05,1.9765634721516425e-06,0.20875823551154785,2.8114292171671846,1.0387038681315628e-07,1.7950008509898864e-07,1.9191197956957413e-07,1.3626466620622633e-07,1.1614358461430551e-07,1.1451675537823346e-07
IndSumNormal,Lat,4,4096,12,rqmc,True,19,-1.7924829898632454e-05,7.852270469068746e-06,-0.011062898905114112,2.6145349435412433,4.2134839909750727e-07,7.265037928786289e-07,7.905710228422568e-07,5.646818518574848e-07,4.773888572022869e-07,4.7356397735478434e-07
IndSumNormal,Lat,4,4096,12,rqmc,True,23,1.4497045103509862e-05,1.9765634721516425e-06,0.20875823551154785,2.8114292171671846,8.648714592014124e-08,1.509185573939506e-07,1.6111150922210748e-07,1.0759267948796732e-07,9.543468826432558e-08,9.322679157618515e-08
IndSumNormal,Lat,4,4096,12,rqmc,True,23,-1.7924829898632454e-05,7.852270469068746e-06,-0.011062898905114112,2.6145349435412433,3.449137497296018e-07,6.063981135303047e-07,6.595880155962455e-07,4.338243651361524e-07,3.8002475941713306e-07,3.7476103206854634e-07
IndSumNormal,Lat,4,4096,12,rqmc,True,27,1.4497045103509862e-05,1.9765634721516425e-06,0.20875823551154785,2.8114292171671846,7.264881960229523e-08,1.2961220779593555e-07,1.3780365106234373e-07,8.650603061564465e-08,7.851669332015573e-08,7.667785326874623e-08
IndSumNormal,Lat,4,4096,12,rqmc,True,27,-1.7924829898632454e-05,7.852270469068746e-06,-0.011062898905114112,2.6145349435412433,2.9245153880581936e-07,5.281818131934339e-07,5.755122927216099e-07,3.5872485214754493e-07,3.2065042551320255e-07,3.149255945464219e-07
IndSumNormal,Lat,4,4096,12,rqmc,True,31,-1.7924829898632454e-05,7.852270469068746e-06,-0.011062898905114112,2.6145349435412433,2.4983523709562e-07,4.5275995803224775e-07,4.905631280782901e-07,2.9439890663967705e-07,2.699372986014589e-07,2.6460950226063334e-07
IndSumNormal,Lat,4,4096,12,rqmc,True,31,1.4497045103509862e-05,1.9765634721516425e-06,0.20875823551154785,2.8114292171671846,6.317537189100203e-08,1.1434947438078172e-07,1.219635885762836e-07,7.355751504578061e-08,6.773118012767341e-08,6.629302772295824e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,7,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,9.953697203092977e-08,1.5550489070420476e-07,1.6524407336610974e-07,2.0331493713351481e-07,1.3230773029526155e-07,1.5330695059239437e-07
IndSumNormal,Lat,4,16384,14,rqmc,True,7,8.594945499607831e-06,3.7215891387315374e-07,0.06405580427764383,2.8221423717436043,5.335935508904786e-08,8.126027006069098e-08,8.662500679884666e-08,1.0808653314433574e-07,7.159137547060466e-08,8.044112490676931e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,11,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,6.373156793317333e-08,1.0347963777039158e-07,1.1006827090405938e-07,1.0172705141016577e-07,7.624541891847855e-08,7.889597133876283e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,11,8.594945499607831e-06,3.7215891387315374e-07,0.06405580427764383,2.8221423717436043,3.3537604900728085e-08,5.2759588951248465e-08,5.639349455658369e-08,5.410664127599195e-08,4.0443112009125976e-08,4.161311736853855e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,15,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,4.586177591111532e-08,7.46874540009382e-08,8.01664275080821e-08,6.239797160045769e-08,5.256268345859279e-08,5.113975128901423e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,15,8.594945499607831e-06,3.7215891387315374e-07,0.06405580427764383,2.8221423717436043,2.478207004562691e-08,3.922840341841966e-08,4.201984483511399e-08,3.3960798725963376e-08,2.8294618243272687e-08,2.7838129266432188e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,19,8.594945499607831e-06,3.7215891387315374e-07,0.06405580427764383,2.8221423717436043,1.995245644779907e-08,3.139773398734167e-08,3.3469128471126384e-08,2.549297929579276e-08,2.205942633711716e-08,2.172617397429235e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,19,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,3.65152088766706e-08,6.055363728141792e-08,6.5215027401494e-08,4.768647040244743e-08,4.1395449210873076e-08,4.013574099095808e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,23,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,2.990746307069174e-08,4.985671328748484e-08,5.3626080503571396e-08,3.699102679875349e-08,3.283363829191412e-08,3.2057930032351536e-08
