file,TestFunction,dim,DrawMethod,shift,log2n,baker,rDrawn,mean,var,skewness,kurtosis,    ,MSE[A_r],MSE[M_r],MSE[L_r],MSE[N(3)_r],MSE[N(2)_r],MSE[N(3;1.0)_r]
RepsFixedparRQMC/Fper2-4-Lat-RS-14-10000.dat,Fper2,4,Lat,RS,14,False,15,-1.16590200000001e-15,3.74878367986864e-26,-0.0517569964367542,2.37461613552515,    ,2.50054844738603e-27,4.32336925264602e-27,4.85080578551752e-27,3.70311859607915e-27,2.9835112169627e-27,2.9386016009578e-27
RepsFixedparRQMC/Fper2-4-Lat-RS-14-10000.dat,Fper2,4,Lat,RS,14,False,19,-1.16590200000001e-15,3.74878367986864e-26,-0.0517569964367542,2.37461613552515,    ,1.97440336950973e-27,3.42651817797267e-27,3.8544468909702e-27,2.67475487052695e-27,2.24478626252553e-27,2.20964878280209e-27
RepsFixedparRQMC/Fper2-4-Lat-RS-14-10000.dat,Fper2,4,Lat,RS,14,False,23,-1.16590200000001e-15,3.74878367986864e-26,-0.0517569964367542,2.37461613552515,    ,1.63126527524258e-27,2.77733083621672e-27,3.14156711672993e-27,2.07964616197671e-27,1.77956767324549e-27,1.76589688519181e-27
RepsFixedparRQMC/Fper2-4-Lat-RS-14-10000.dat,Fper2,4,Lat,RS,14,False,27,-1.16590200000001e-15,3.74878367986864e-26,-0.0517569964367542,2.37461613552515,    ,1.38979772742495e-27,2.37644533080143e-27,2.7019909352168e-27,1.66939604921008e-27,1.47614158397594e-27,1.45789422284593e-27
RepsFixedparRQMC/Fper2-4-Lat-RS-14-10000.dat,Fper2,4,Lat,RS,14,False,31,-1.16590200000001e-15,3.74878367986864e-26,-0.0517569964367542,2.37461613552515,    ,1.21064438549575e-27,2.08736725578097e-27,2.39066455436081e-27,1.42222723258289e-27,1.27189788202493e-27,1.25853597866224e-27
RepsFixedparRQMC/Fper2-4-Lat-RSB-14-10000.dat,Fper2,4,Lat,RS,14,True,11,-3.6287305e-14,9.05971885617163e-24,0.0138404106853997,1.85703571467139,    ,8.24927573610675e-25,2.25251598164646e-24,2.55131907549986e-24,1.99000715905381e-24,1.18398132717593e-24,1.38593656437606e-24
RepsFixedparRQMC/Fper2-4-Lat-RSB-14-10000.dat,Fper2,4,Lat,RS,14,True,15,-3.6287305e-14,9.05971885617163e-24,0.0138404106853997,1.85703571467139,    ,6.05298025582271e-25,1.77025153162451e-24,2.04938855977366e-24,1.11328481498955e-24,7.77671219380734e-25,8.21653135479448e-25
RepsFixedparRQMC/Fper2-4-Lat-RSB-14-10000.dat,Fper2,4,Lat,RS,14,True,19,-3.6287305e-14,9.05971885617163e-24,0.0138404106853997,1.85703571467139,    ,4.78144076723722e-25,1.44390950036712e-24,1.69629836306674e-24,7.49866265058205e-25,5.63393491349771e-25,5.84621879095776e-25
RepsFixedparRQMC/Fper2-4-Lat-RSB-14-10000.dat,Fper2,4,Lat,RS,14,True,23,-3.6287305e-14,9.05971885617163e-24,0.0138404106853997,1.85703571467139,    ,3.95217588337712e-25,1.22958022801369e-24,1.45820510821286e-24,5.54381876018286e-25,4.46542736276883e-25,4.53381603724162e-25
RepsFixedparRQMC/Fper2-4-Lat-RSB-14-10000.dat,Fper2,4,Lat,RS,14,True,27,-3.6287305e-14,9.05971885617163e-24,0.0138404106853997,1.85703571467139,    ,3.36861911325334e-25,1.0826274924564e-24,1.29987756815044e-24,4.47099259017577e-25,3.73807100772919e-25,3.76230880827833e-25
RepsFixedparRQMC/Fper2-4-Lat-RSB-14-10000.dat,Fper2,4,Lat,RS,14,True,31,-3.6287305e-14,9.05971885617163e-24,0.0138404106853997,1.85703571467139,    ,2.93565763864538e-25,9.67520691410696e-25,1.16762524728075e-24,3.73500783138776e-25,3.22499370053736e-25,3.23464428685389e-25
RepsFixedparRQMC/Fper2-4-Lat-RS-16-10000.dat,Fper2,4,Lat,RS,16,False,11,-2.29519000000001e-16,6.13446091758639e-28,0.0183844307061046,1.76332009398976,    ,5.58205054948736e-29,1.64418072860515e-28,1.85816274445283e-28,1.41762604950666e-28,8.28840159524752e-29,9.76706511984195e-29
RepsFixedparRQMC/Fper2-4-Lat-RS-16-10000.dat,Fper2,4,Lat,RS,16,False,15,-2.29519000000001e-16,6.13446091758639e-28,0.0183844307061046,1.76332009398976,    ,4.09490850886036e-29,1.28200015472119e-28,1.4883687737154e-28,7.8690424066163e-29,5.26978454241316e-29,5.71823325977904e-29
RepsFixedparRQMC/Fper2-4-Lat-RS-16-10000.dat,Fper2,4,Lat,RS,16,False,19,-2.29519000000001e-16,6.13446091758639e-28,0.0183844307061046,1.76332009398976,    ,3.23393153797104e-29,1.07211621670854e-28,1.26799438244376e-28,5.53531678073843e-29,4.05540459549448e-29,4.22514340260165e-29
RepsFixedparRQMC/Fper2-4-Lat-RS-16-10000.dat,Fper2,4,Lat,RS,16,False,23,-2.29519000000001e-16,6.13446091758639e-28,0.0183844307061046,1.76332009398976,    ,2.67242481782583e-29,9.17900294580784e-29,1.10018697905813e-28,3.98921088611946e-29,3.17967968711173e-29,3.22531719405405e-29
RepsFixedparRQMC/Fper2-4-Lat-RS-16-10000.dat,Fper2,4,Lat,RS,16,False,27,-2.29519000000001e-16,6.13446091758639e-28,0.0183844307061046,1.76332009398976,    ,2.27729045920513e-29,7.91618269907599e-29,9.63471167025169e-29,3.11046372918747e-29,2.5806995666664e-29,2.60668898696892e-29
RepsFixedparRQMC/Fper2-4-Lat-RS-16-10000.dat,Fper2,4,Lat,RS,16,False,31,-2.29519000000001e-16,6.13446091758639e-28,0.0183844307061046,1.76332009398976,    ,1.98412625764784e-29,7.03723486455487e-29,8.62843678707019e-29,2.59015741608506e-29,2.20799351697524e-29,2.22310751125399e-29
RepsFixedparRQMC/Fper2-4-Lat-RSB-16-10000.dat,Fper2,4,Lat,RS,16,True,11,-3.98566000000001e-16,2.03098647245036e-26,0.0211791994561706,1.65106031583507,    ,1.8465101934476e-27,5.90874830539973e-27,6.70412543234062e-27,5.01250355176044e-27,2.7882688316692e-27,3.41108493067051e-27
RepsFixedparRQMC/Fper2-4-Lat-RSB-16-10000.dat,Fper2,4,Lat,RS,16,True,15,-3.98566000000001e-16,2.03098647245036e-26,0.0211791994561706,1.65106031583507,    ,1.35414983648993e-27,4.66042795196196e-27,5.43445215571857e-27,2.77357862731097e-27,1.77967324416352e-27,1.97635503824984e-27
RepsFixedparRQMC/Fper2-4-Lat-RSB-16-10000.dat,Fper2,4,Lat,RS,16,True,19,-3.98566000000001e-16,2.03098647245036e-26,0.0211791994561706,1.65106031583507,    ,1.06909910351444e-27,3.83256684950316e-27,4.57928782579722e-27,1.86815709486703e-27,1.31482173455495e-27,1.41099054631682e-27
