file,TestFunction,dim,DrawMethod,shift,log2n,baker,mean,var,skewness,kurtosis,    ,MSE[A_r],MSE[M_r],MSE[L_r],MSE[N(3)_r],MSE[N(2)_r],MSE[N(3;1.0)_r]
RepsRandparQMC/Fper2-4-Lat-Rp-10-10000.dat,Fper2,4,Lat-Rp,qmc,10,False,0.00022534691724955,0.00000776147553824,17.39403780162106372,325.55251455845797182,    ,0.00000075636991841,0.00000000000070771,0.00000000000120487,0.00000000011967476,0.00000002172022159,0.00000000024887056
RepsRandparQMC/Fper2-4-Lat-Rp-B-10-10000.dat,Fper2,4,Lat-Rp,qmc,10,True,0.00022534691724945,0.00000776147553824,17.39403780162079016,325.55251455844904740,    ,0.00000075636991841,0.00000000000070771,0.00000000000120487,0.00000000011967476,0.00000002172022159,0.00000000024887056
RepsRandparQMC/Fper2-4-Lat-Rp-12-10000.dat,Fper2,4,Lat-Rp,qmc,12,False,0.00006599301238398,0.00000250139531295,31.65171566210349141,1054.18769089252668891,    ,0.00000023175465159,0.00000000000000030,0.00000000000000127,0.00000000001943104,0.00000000053361568,0.00000000002558088
RepsRandparQMC/Fper2-4-Lat-Rp-B-12-10000.dat,Fper2,4,Lat-Rp,qmc,12,True,0.00006599301238379,0.00000250139531295,31.65171566210459986,1054.18769089259217253,    ,0.00000023175465159,0.00000000000000030,0.00000000000000127,0.00000000001943104,0.00000000053361568,0.00000000002558088
RepsRandparQMC/Fper2-4-Lat-Rp-14-10000.dat,Fper2,4,Lat-Rp,qmc,14,False,0.00002991459486610,0.00000144965162396,44.02244724217545979,1955.55212735291979698,    ,0.00000013268139425,0.00000000000000000,0.00000000000000000,0.00000000000000092,0.00000000014988371,0.00000000000000172
RepsRandparQMC/Fper2-4-Lat-Rp-B-14-10000.dat,Fper2,4,Lat-Rp,qmc,14,True,0.00002991459486620,0.00000144965162396,44.02244724217401739,1955.55212735282384529,    ,0.00000013268139425,0.00000000000000000,0.00000000000000000,0.00000000000000092,0.00000000014988371,0.00000000000000172
RepsRandparQMC/Fper2-4-Lat-Rp-16-10000.dat,Fper2,4,Lat-Rp,qmc,16,False,0.00000098455304397,0.00000000577934219,76.79871637907734794,6396.17935975538330240,    ,0.00000000052636409,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000037273,0.00000000000000000
RepsRandparQMC/Fper2-4-Lat-Rp-B-16-10000.dat,Fper2,4,Lat-Rp,qmc,16,True,0.00000098455304430,0.00000000577934219,76.79871637908873083,6396.17935975536875048,    ,0.00000000052636409,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000037273,0.00000000000000000
RepsRandparRQMC/Fper2-4-Lat-Rv-RS-6-10000.dat,Fper2,4,Lat-Rv,RS,6,False,-0.00001884704975961,0.00010124602830293,0.08960849674057438,20.51901956301430374,    ,0.00000920453960246,0.00000001002144318,0.00000001951726590,0.00000057219903947,0.00000271959210882,0.00000072657555241
RepsRandparRQMC/Fper2-4-Lat-Rv-RSB-6-10000.dat,Fper2,4,Lat-Rv,RS,6,True,0.00022640241609475,0.00019186587280479,0.19907706258508889,10.39827125566777433,    ,0.00001749361012718,0.00000029652737697,0.00000037139499829,0.00000317521984851,0.00000835140475614,0.00000369753301072
RepsRandparRQMC/Fper2-4-Lat-Rv-RS-8-10000.dat,Fper2,4,Lat-Rv,RS,8,False,0.00002620152535276,0.00002355206108516,-0.05034059448779908,86.93993085197308801,    ,0.00000214178298222,0.00000000001704931,0.00000000003216927,0.00000001974006936,0.00000015886506284,0.00000002398083631
RepsRandparRQMC/Fper2-4-Lat-Rv-RSB-8-10000.dat,Fper2,4,Lat-Rv,RS,8,True,-0.00000774334824643,0.00004794391961319,0.17395671201896290,41.35341573570275386,    ,0.00000435859810610,0.00000000031941407,0.00000000111142416,0.00000007714260045,0.00000066283574363,0.00000010093096542
